"Date","Score"
2018-02-02,-0.0125
2018-02-03,0
2018-02-04,0.325
2018-02-06,0.25
2018-02-07,0.13
2018-02-08,2.77555756156289e-17
2018-02-09,0.104545454545455
2018-02-10,-0.166666666666667
2018-02-12,0.268
2018-02-13,0.272222222222222
2018-02-14,0.414285714285714
2018-02-15,0.704545454545455
2018-02-16,0.3
2018-02-17,0
2018-02-18,0.5
2018-02-19,0.45
2018-02-20,0.383333333333333
2018-02-21,-0.240625
2018-02-23,-0.125
2018-02-24,0.6
2018-02-25,-0.0666666666666667
2018-02-26,-0.266666666666667
2018-02-27,-0.25
2018-02-28,0.375
2018-03-01,0.2
2018-03-02,-0.0708333333333333
2018-03-03,0.7
2018-03-04,0.2
2018-03-05,0.35
2018-03-06,0.0571428571428571
2018-03-07,0.0807692307692308
2018-03-08,-0.000833333333333335
2018-03-09,0.25
2018-03-10,0.385714285714286
2018-03-11,0.41
2018-03-12,0.1
2018-03-14,0.4
2018-03-16,0.925
2018-03-18,-0.359090909090909
2018-03-19,0.166666666666667
2018-03-20,0.323076923076923
2018-03-21,0.260714285714286
2018-03-22,0.138461538461538
2018-03-23,0.35
2018-03-24,0.18
2018-03-26,-0.01
2018-03-28,0.35
2018-03-29,0.171428571428571
2018-03-30,0.3
2018-04-01,-0.05
2018-04-02,0.35
2018-04-04,0.35
2018-04-05,0.345833333333333
2018-04-06,1.25
2018-04-09,0.0972222222222222
2018-04-10,0.177678571428571
2018-04-11,-0.333333333333333
2018-04-12,0.0385714285714286
2018-04-13,0.13
2018-04-14,0.23
2018-04-15,0.909090909090909
2018-04-16,0.481578947368421
2018-04-17,-0.00333333333333332
2018-04-18,0.436486486486486
2018-04-19,-0.0125
2018-04-21,0.133333333333333
2018-04-22,0.513461538461538
2018-04-23,0.292307692307692
2018-04-24,0.622916666666667
2018-04-25,0.79
2018-04-26,0.04
2018-04-27,0.642857142857143
2018-04-28,-0.375
2018-04-29,0.117391304347826
2018-04-30,0.341379310344828
2018-05-01,0.1625
2018-05-02,0.197727272727273
2018-05-03,0.197368421052632
2018-05-04,0.0633333333333333
2018-05-05,-0.0119047619047619
2018-05-06,0.081578947368421
2018-05-07,0.276923076923077
2018-05-08,0.481818181818182
2018-05-09,0.175
2018-05-10,0.466666666666667
2018-05-11,-0.157142857142857
2018-05-12,0.4
2018-05-13,0.3
2018-05-14,0.438888888888889
2018-05-15,0.145
2018-05-16,0.065
2018-05-17,0.367647058823529
2018-05-19,0.775
2018-05-20,0.3
2018-05-21,0.75
2018-05-22,-0.0214285714285714
2018-05-23,0.1
2018-05-24,0.75
2018-05-25,0.43
2018-05-26,0.419565217391304
2018-05-27,0.0375
2018-05-28,0.85
2018-05-29,0.385714285714286
2018-05-30,0.142857142857143
2018-05-31,-0.25
2018-06-01,0.554166666666667
2018-06-02,0.238235294117647
2018-06-03,0.627777777777778
2018-06-04,0.015625
2018-06-05,0.65
2018-06-07,0.340909090909091
2018-06-08,-0.5
2018-06-09,-0.75
